[2026/01/13 04:53:21 PM] Strategy: opfuzz, 2 testing targets, 999 seeds
[2026/01/13 04:55:15 PM] Performed 762 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:55:17 PM] Performed 776 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:55:19 PM] Performed 790 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:55:21 PM] Performed 804 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:55:24 PM] Performed 822 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:55:26 PM] Performed 840 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:55:28 PM] Performed 856 solver calls (6.7 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:55:30 PM] Performed 872 solver calls (6.7 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:55:32 PM] Performed 890 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:55:34 PM] Performed 906 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:55:36 PM] Performed 918 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:55:39 PM] Performed 932 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:55:41 PM] Performed 946 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:55:43 PM] Performed 962 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:55:45 PM] Performed 966 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:55:47 PM] Performed 982 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:55:49 PM] Performed 998 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:55:51 PM] Performed 1012 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:55:53 PM] Performed 1028 solver calls (6.7 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:55:56 PM] Performed 1046 solver calls (6.7 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:55:58 PM] Performed 1064 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:00 PM] Performed 1078 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:02 PM] Performed 1092 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:04 PM] Performed 1108 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:06 PM] Performed 1122 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:09 PM] Performed 1138 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:11 PM] Performed 1152 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:13 PM] Performed 1166 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:15 PM] Performed 1180 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:17 PM] Performed 1192 solver calls (6.7 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:20 PM] Performed 1194 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:56:22 PM] Performed 1206 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:56:24 PM] Performed 1222 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:56:26 PM] Performed 1238 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:56:28 PM] Performed 1254 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:56:31 PM] Performed 1270 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:56:33 PM] Performed 1286 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:56:35 PM] Performed 1302 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:56:37 PM] Performed 1318 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:56:39 PM] Performed 1334 solver calls (6.7 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:41 PM] Performed 1352 solver calls (6.7 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:43 PM] Performed 1368 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:45 PM] Performed 1382 solver calls (6.7 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:47 PM] Performed 1396 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:49 PM] Performed 1410 solver calls (6.8 calls/s, eff: 50.1%, 3.4 mutants/s)
[2026/01/13 04:56:54 PM] Performed 1426 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:56:56 PM] Performed 1440 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:56:58 PM] Performed 1454 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:57:00 PM] Performed 1470 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
[2026/01/13 04:57:02 PM] Performed 1486 solver calls (6.7 calls/s, eff: 50.1%, 3.3 mutants/s)
User interrupt
4 seeds processed, 4 valid, 0 invalid 
1 bug triggers found
